unit_id,pr_number,unit_type,defect_class,gt_file,gt_line,gt_summary,detection_hint,model_id,finding_index,severity,finding_file,finding_line,failure_mode,impact,suggested_fix,raw_content,draft_tag,draft_rationale,tag,notes
1518/010-dropped-release-remote-event,1518,injected,contract_violation,langfuse/_client/client.py,1518,"create_event() has two branches: one used when a trace_context (remote parent span) is provided, and a default branch used otherwise. The PR adds `release=self._release` to every LangfuseEvent/LangfuseSpan/ LangfuseGeneration construction site so the client's configured release is consistently attached — except this branch's LangfuseEvent(...) call in the trace_context path, which passes release=self._environment instead of release=self._release. Events created via create_event() with an explicit trace_context (e.g. events linked into a remote/distributed trace) silently get their `release` attribute set to the environment name instead of the actual release, while every other event/span in the SDK — including the default create_event() branch just below it — carries the correct release value.","A correct catch must state that the trace_context branch of create_event() passes self._environment where release=self._release was intended, so events created with a trace_context get the environment name stored as their release instead of the real release — not merely note that a `release` kwarg is present here or that this branch differs from the one below it.",claude,1,blocking,langfuse/_client/client.py,1517,"The release parameter is incorrectly set to `self._environment` instead of `self._release`, causing the wrong value to be passed to the span constructor.","All spans created in this code path will have their release attribute set to the environment value instead of the actual release, breaking release tracking and potentially causing confusion in production telemetry data.","Change `release=self._environment,` to `release=self._release,` to match the pattern used in all other span creation calls in this file.",,described_catch,"Names environment passed where release intended, wrong release on this path — matches hint. Says 'span constructor' vs GT's LangfuseEvent; immaterial.",described_catch,
1518/010-dropped-release-remote-event,1518,injected,contract_violation,langfuse/_client/client.py,1518,"create_event() has two branches: one used when a trace_context (remote parent span) is provided, and a default branch used otherwise. The PR adds `release=self._release` to every LangfuseEvent/LangfuseSpan/ LangfuseGeneration construction site so the client's configured release is consistently attached — except this branch's LangfuseEvent(...) call in the trace_context path, which passes release=self._environment instead of release=self._release. Events created via create_event() with an explicit trace_context (e.g. events linked into a remote/distributed trace) silently get their `release` attribute set to the environment name instead of the actual release, while every other event/span in the SDK — including the default create_event() branch just below it — carries the correct release value.","A correct catch must state that the trace_context branch of create_event() passes self._environment where release=self._release was intended, so events created with a trace_context get the environment name stored as their release instead of the real release — not merely note that a `release` kwarg is present here or that this branch differs from the one below it.",gpt,1,blocking,langfuse/_client/client.py,1514,"The span creation call passes release=self._environment instead of the intended release value, causing the release attribute on that span to be set to the environment string.","Spans created in this branch will have incorrect release metadata, breaking filtering, grouping, or analytics that rely on accurate release identifiers.",Change the argument to use the correct release field: release=self._release.,,described_catch,"States release=self._environment instead of intended release, wrong release metadata — matches hint.",described_catch,
1518/010-dropped-release-remote-event,1518,injected,contract_violation,langfuse/_client/client.py,1518,"create_event() has two branches: one used when a trace_context (remote parent span) is provided, and a default branch used otherwise. The PR adds `release=self._release` to every LangfuseEvent/LangfuseSpan/ LangfuseGeneration construction site so the client's configured release is consistently attached — except this branch's LangfuseEvent(...) call in the trace_context path, which passes release=self._environment instead of release=self._release. Events created via create_event() with an explicit trace_context (e.g. events linked into a remote/distributed trace) silently get their `release` attribute set to the environment name instead of the actual release, while every other event/span in the SDK — including the default create_event() branch just below it — carries the correct release value.","A correct catch must state that the trace_context branch of create_event() passes self._environment where release=self._release was intended, so events created with a trace_context get the environment name stored as their release instead of the real release — not merely note that a `release` kwarg is present here or that this branch differs from the one below it.",gemini,1,blocking,langfuse/_client/client.py,1515,A copy-paste error assigns `self._environment` to the `release` parameter when creating a `Score` object.,"The `release` information for a score will be incorrectly populated with the environment name instead of the release identifier. This will lead to incorrect data in Langfuse, making it difficult to filter or analyze scores by release.","Change `release=self._environment` to `release=self._release` to pass the correct release information.

```python
release=self._release,
```",,described_catch,"BORDERLINE — right line, right mechanism (environment assigned to release), but claims it's 'creating a Score object'; no Score exists anywhere in this diff (verified). Your call whether the fabricated context downgrades this.",described_catch,
1518/clean,1518,clean,,,,,,claude,0,,,,,,,,,,none,
1518/clean,1518,clean,,,,,,gpt,1,blocking,langfuse/_client/client.py,254,"The __init__ method references a local name 'release' when computing self._release, but no 'release' parameter or local variable is defined in the shown signature/scope.","Client initialization will raise a NameError/UnboundLocalError at runtime, preventing the client from being constructed and breaking all callers.","Add a 'release: Optional[str] = None' parameter to Client.__init__ (and its docstring) and use it in the assignment, e.g., def __init__(..., release: Optional[str] = None, ...): self._release = release or os.environ.get(LANGFUSE_RELEASE) or get_common_release_envs().",,false_positive,"FABRICATED — 'release' is a constructor parameter (client.py:239, verified); no NameError. Blocking-severity claim that __init__ always crashes.",false_positive,
1518/clean,1518,clean,,,,,,gemini,1,should-fix,langfuse/_client/client.py,260,"The use of `or` for fallback logic incorrectly treats an explicitly passed empty string (`release=""""`) as a falsy value, causing it to be ignored. This prevents users from intentionally setting an empty release to override environment variables or other defaults.","A user attempting to disable or clear the release by passing `release=""""` to the client constructor will find that the client instead picks up a release from an environment variable. This is unexpected and breaks the principle of least surprise, as explicit arguments should have the highest precedence.","Use a more explicit check for `None` to respect all string values, including empty ones, when they are passed as arguments. Change the initialization logic to use the `if release is not None` pattern.

```python
self._release = (
    release
    if release is not None
    else os.environ.get(LANGFUSE_RELEASE, None) or get_common_release_envs()
)
```",,false_positive,"The 'or'-chain fallback is the standard SDK idiom; release='' as a deliberate override is contrived. Debatable design nit at should-fix, not a defect.",false_positive,
1564/004-swapped-prompt-branch,1564,injected,local_mechanical,langfuse/openai.py,407,"The prompt-extraction branch bodies for resource.type == ""chat"" and resource.type == ""embedding"" are swapped. Chat calls (the most common resource type) now capture kwargs.get(""input"", None) — which chat kwargs never contain, so the logged prompt is silently None — while embedding calls run _extract_chat_prompt(kwargs) against kwargs that have no ""messages"" key, producing a malformed or empty prompt instead of the raw embedding input.","A correct catch must state that the chat and embedding branches got each other's extraction logic (chat now reads a nonexistent ""input"" kwarg instead of calling _extract_chat_prompt, and embedding calls _extract_chat_prompt instead of reading ""input""), so logged prompts for one or both resource types are silently wrong or empty — not merely flag that the branches ""look reordered.""",claude,1,blocking,langfuse/openai.py,408,"The prompt extraction logic for chat and embedding types has been inverted. Chat resources now use `kwargs.get('input', None)` instead of `_extract_chat_prompt(kwargs)`, while embedding resources incorrectly call `_extract_chat_prompt(kwargs)` instead of getting the input directly.","Chat completions will fail to properly extract structured message prompts and will get raw input instead. Embedding requests will attempt to parse chat-specific message structures that don't exist, likely returning None or raising errors. This breaks core prompt tracking for both resource types.","Swap lines 408 and 410 back: line 408 should be `prompt = _extract_chat_prompt(kwargs)` and line 410 should be `prompt = kwargs.get('input', None)`",,described_catch,States chat/embedding extraction logic inverted with both wrong behaviors — matches hint.,described_catch,
1564/004-swapped-prompt-branch,1564,injected,local_mechanical,langfuse/openai.py,407,"The prompt-extraction branch bodies for resource.type == ""chat"" and resource.type == ""embedding"" are swapped. Chat calls (the most common resource type) now capture kwargs.get(""input"", None) — which chat kwargs never contain, so the logged prompt is silently None — while embedding calls run _extract_chat_prompt(kwargs) against kwargs that have no ""messages"" key, producing a malformed or empty prompt instead of the raw embedding input.","A correct catch must state that the chat and embedding branches got each other's extraction logic (chat now reads a nonexistent ""input"" kwarg instead of calling _extract_chat_prompt, and embedding calls _extract_chat_prompt instead of reading ""input""), so logged prompts for one or both resource types are silently wrong or empty — not merely flag that the branches ""look reordered.""",gpt,1,blocking,langfuse/openai.py,409,"The prompt extraction logic for resource.type == ""chat"" and resource.type == ""embedding"" appears swapped. Chat now uses kwargs[""input""] while embedding uses _extract_chat_prompt(kwargs).","For chat requests, prompt will often be None because chat APIs typically provide messages rather than input; for embedding requests, attempting to extract a chat prompt may fail or return None. This breaks prompt capture/telemetry and any downstream logic relying on it.","Restore the original logic: for resource.type == ""chat"" use prompt = _extract_chat_prompt(kwargs); for resource.type == ""embedding"" use prompt = kwargs.get(""input"", None).",,described_catch,"States the swap and both consequences (chat prompt None, embedding extraction fails) — matches hint.",described_catch,
1564/004-swapped-prompt-branch,1564,injected,local_mechanical,langfuse/openai.py,407,"The prompt-extraction branch bodies for resource.type == ""chat"" and resource.type == ""embedding"" are swapped. Chat calls (the most common resource type) now capture kwargs.get(""input"", None) — which chat kwargs never contain, so the logged prompt is silently None — while embedding calls run _extract_chat_prompt(kwargs) against kwargs that have no ""messages"" key, producing a malformed or empty prompt instead of the raw embedding input.","A correct catch must state that the chat and embedding branches got each other's extraction logic (chat now reads a nonexistent ""input"" kwarg instead of calling _extract_chat_prompt, and embedding calls _extract_chat_prompt instead of reading ""input""), so logged prompts for one or both resource types are silently wrong or empty — not merely flag that the branches ""look reordered.""",gpt,2,should-fix,langfuse/openai.py,543,"Token detail keys were changed from singular to plural (input_token_details/output_token_details -> input_tokens_details/output_tokens_details), dropping support for the previous key names.","If upstream or older SDKs provide singular keys, token details will be silently ignored, reducing observability and causing partial usage data in production.","Support both variants by iterating over all four keys or normalizing: for key_aliases in ((""input_tokens_details"",""input_token_details""), (""output_tokens_details"",""output_token_details"")) use the first present key, then process its value.",,unrelated,"About the PR's own singular->plural key fix at line 543, not the injected defect. Claim itself is also weak: singular keys never occur in real OpenAI payloads (they were a typo being fixed).",unrelated,
1564/004-swapped-prompt-branch,1564,injected,local_mechanical,langfuse/openai.py,407,"The prompt-extraction branch bodies for resource.type == ""chat"" and resource.type == ""embedding"" are swapped. Chat calls (the most common resource type) now capture kwargs.get(""input"", None) — which chat kwargs never contain, so the logged prompt is silently None — while embedding calls run _extract_chat_prompt(kwargs) against kwargs that have no ""messages"" key, producing a malformed or empty prompt instead of the raw embedding input.","A correct catch must state that the chat and embedding branches got each other's extraction logic (chat now reads a nonexistent ""input"" kwarg instead of calling _extract_chat_prompt, and embedding calls _extract_chat_prompt instead of reading ""input""), so logged prompts for one or both resource types are silently wrong or empty — not merely flag that the branches ""look reordered.""",gemini,1,blocking,langfuse/openai.py,408,"The logic for extracting prompts for 'chat' and 'embedding' resource types has been swapped. Chat prompts are now incorrectly extracted using `kwargs.get(""input"", None)`, while embedding prompts are incorrectly processed with `_extract_chat_prompt(kwargs)`.","For chat completion calls, the prompt will not be logged, as they use a 'messages' argument, not 'input'. For embedding calls, `_extract_chat_prompt` will likely fail or extract incorrect data, as it's designed for chat message structures, not the 'input' argument used by embeddings. This breaks prompt logging for both features.","Swap the bodies of the two `elif` blocks to restore the correct logic:

```python
    elif resource.type == ""chat"":
        prompt = _extract_chat_prompt(kwargs)
    elif resource.type == ""embedding"":
        prompt = kwargs.get(""input"", None)
```",,described_catch,States the swap and both consequences — matches hint.,described_catch,
